"ZipCode","MedianIncome"
"05853","47667"
"05855","39773"
"05857","46736"
"05858","43125"
"05859","40300"
"05860","44150"
"05862","49861"
"05866","44643"
"05867","35658"
"05868","34306"
"05871","46587"
"05872","40329"
"05873","63295"
"05874","70893"
"05875","58636"
"05901","41250"
"05902","33333"
"05903","40435"
"05904","18750"
"05905","36563"
"05906","37727"
"05907","31667"
"06001","115745"
"06002","73519"
"06010","60222"
"06013","108922"
"06016","76083"
"06018","60556"
"06019","89890"
"06020","-"
"06021","77917"
"06022","34545"
"06023","78194"
"06024","63816"
"06026","71406"
"06027","89071"
"06029","84598"
"06031","86528"
"06032","95846"
"06033","104708"
"06035","91250"
"06037","88107"
"06039","70602"
"06040","60834"
"06042","70190"
"06043","88625"
"06051","30742"
"06052","60063"
"06053","46781"
"06057","84191"
"06058","74375"
"06059","-"
"06060","126065"
"06061","14661"
"06062","55506"
"06063","77261"
"06065","99762"
"06066","60556"
"06067","75442"
"06068","74609"
"06069","72708"
"06070","112153"
"06071","95324"
"06073","132619"
"06074","94217"
"06076","65000"
"06078","93339"
"06081","46492"
"06082","68162"
"06084","107091"
"06085","91111"
"06088","67559"
"06089","107734"
"06090","104766"
"06091","88889"
"06092","154276"
"06093","100446"
"06095","79168"
"06096","67222"
"06098","61237"
"06103","97292"
"06105","29400"
"06106","26956"
"06107","109276"
"06108","43592"
"06109","78008"
"06110","60210"
"06111","79008"
"06112","32708"
"06114","31399"
